Name                                                 Type                Forward_MACs    FPercent    Memory      MPercent    Params    PPercent    InShape      OutShape
---------------------------------------------------  ------------------  --------------  ----------  ----------  ----------  --------  ----------  -----------  -----------
/detail/S1/S1.0/conv/Conv                            Conv                1,720,320       1.32%       247,552     2.26%       448       0.05%       1x3x160x96   1x16x80x48
/detail/S1/S1.0/relu/Relu                            Relu                61,440          0.05%       245,760     2.24%       0         0.00%       1x16x80x48   1x16x80x48
/detail/S1/S1.1/conv/Conv                            Conv                8,908,800       6.84%       255,040     2.33%       2,320     0.26%       1x16x80x48   1x16x80x48
/detail/S1/S1.1/relu/Relu                            Relu                61,440          0.05%       245,760     2.24%       0         0.00%       1x16x80x48   1x16x80x48
/detail/S2/S2.0/conv/Conv                            Conv                2,227,200       1.71%       70,720      0.65%       2,320     0.26%       1x16x80x48   1x16x40x24
/detail/S2/S2.0/relu/Relu                            Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x16x40x24   1x16x40x24
/detail/S2/S2.1/conv/Conv                            Conv                2,227,200       1.71%       70,720      0.65%       2,320     0.26%       1x16x40x24   1x16x40x24
/detail/S2/S2.1/relu/Relu                            Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x16x40x24   1x16x40x24
/detail/S2/S2.2/conv/Conv                            Conv                2,227,200       1.71%       70,720      0.65%       2,320     0.26%       1x16x40x24   1x16x40x24
/detail/S2/S2.2/relu/Relu                            Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x16x40x24   1x16x40x24
/detail/S3/S3.0/conv/Conv                            Conv                1,113,600       0.86%       49,280      0.45%       4,640     0.53%       1x16x40x24   1x32x20x12
/detail/S3/S3.0/relu/Relu                            Relu                7,680           0.01%       30,720      0.28%       0         0.00%       1x32x20x12   1x32x20x12
/detail/S3/S3.1/conv/Conv                            Conv                2,219,520       1.70%       67,712      0.62%       9,248     1.05%       1x32x20x12   1x32x20x12
/detail/S3/S3.1/relu/Relu                            Relu                7,680           0.01%       30,720      0.28%       0         0.00%       1x32x20x12   1x32x20x12
/detail/S3/S3.2/conv/Conv                            Conv                4,439,040       3.41%       135,424     1.24%       18,496    2.11%       1x32x20x12   1x64x20x12
/detail/S3/S3.2/relu/Relu                            Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x64x20x12   1x64x20x12
/segment/S1S2/conv/conv/Conv                         Conv                860,160         0.66%       123,776     1.13%       224       0.03%       1x3x160x96   1x8x80x48
/segment/S1S2/conv/relu/Relu                         Relu                30,720          0.02%       122,880     1.12%       0         0.00%       1x8x80x48    1x8x80x48
/segment/S1S2/left/left.0/conv/Conv                  Conv                138,240         0.11%       61,584      0.56%       36        0.00%       1x8x80x48    1x4x80x48
/segment/S1S2/left/left.0/relu/Relu                  Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x4x80x48    1x4x80x48
/segment/S1S2/left/left.1/conv/Conv                  Conv                284,160         0.22%       31,904      0.29%       296       0.03%       1x4x80x48    1x8x40x24
/segment/S1S2/left/left.1/relu/Relu                  Relu                7,680           0.01%       30,720      0.28%       0         0.00%       1x8x40x24    1x8x40x24
